id_aviso,titulo,marca,rubro1,rubro2,rubro3,rubro4,precio,moneda,descuento,precio_texto,foto_url,url_aviso,vendedor,fecha_scraping
1002153,"Tractor Massey Ferguson 8730, año 2019","Massey Ferguson","Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",164640.00,NULL,NULL,"u$s 164.640",https://static2.aastatic.com.ar/files/variants/500/a3687f8f62e14530a0075167866a5fc6.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1002153,"NAVARRO S. A.","2025-12-12 08:38:29"
1002155,"Tractor Pauny 500c Evo, año 2013",Pauny,"Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",64960.00,NULL,NULL,"u$s 64.960",https://static2.aastatic.com.ar/files/variants/500/452a1753b17a4aacb9af884da0797807.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1002155,"NAVARRO S. A.","2025-12-12 08:38:29"
1005561,"Rastra Genovese Fija Grnw 38 Discos",Genovese,"Maquinaria Agricola",Rastras,Otras,,NULL,NULL,NULL,"$ Consultar",https://static2.aastatic.com.ar/files/variants/500/51255c0314e446729bba1b557c2ebe00.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1005561,"NAVARRO S. A.","2025-12-12 08:38:29"
1005564,"Tractor John Deere 5080e","John Deere","Maquinaria Agricola",Tractores,Agricolas,"De tracción simple",NULL,NULL,NULL,"$ Consultar",https://static2.aastatic.com.ar/files/variants/500/ec2315a2740d4871afde9cc0eec4c78f.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1005564,"NAVARRO S. A.","2025-12-12 08:38:29"
1005565,"Tractor John Deere 5082e con Cabina","John Deere","Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",NULL,NULL,NULL,"$ Consultar",https://static2.aastatic.com.ar/files/variants/500/75625adfd5d446508d4affb022e41933.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1005565,"NAVARRO S. A.","2025-12-12 08:38:29"
1005587,"Sembradora Pla STP F29 de 25 a 21 Kit GG",PLA,"Maquinaria Agricola",Sembradoras,"De grano fino",,111623.00,NULL,NULL,"u$s 111.623",https://static2.aastatic.com.ar/files/variants/500/ec7a974dd28e4ae397cca38f62cb6895.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1005587,"NAVARRO S. A.","2025-12-12 08:38:29"
1005589,"Sembradora Pla STP G22 de 22 a 52,5 Etech (2m)",PLA,"Maquinaria Agricola",Sembradoras,"De grano grueso",Neumáticas,269176.00,NULL,NULL,"u$s 269.176",https://static2.aastatic.com.ar/files/variants/500/de8cf95757e54e5bb1ddd9cfa27428a7.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1005589,"NAVARRO S. A.","2025-12-12 08:38:29"
1005591,"Sembradora Pla STP G15 de 15 a 52,5 Etech",PLA,"Maquinaria Agricola",Sembradoras,"De grano grueso",Neumáticas,183860.00,NULL,NULL,"u$s 183.860",https://static2.aastatic.com.ar/files/variants/500/b93d5bd86c274cbb9810ae3f9c0f1ae3.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1005591,"NAVARRO S. A.","2025-12-12 08:38:29"
1005602,"Tractor New Holland T6 130, año 2019","New Holland","Maquinaria Agricola",Tractores,Agricolas,"De tracción doble",56000.00,NULL,NULL,"u$s 56.000",https://static2.aastatic.com.ar/files/variants/500/0ed690d3029c4305b98e68be1eeb1d5d.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1005602,"NAVARRO S. A.","2025-12-12 08:38:29"
1017051,"Cosechadora John Deere 9870, año 2008","John Deere","Maquinaria Agricola",Cosechadoras,Agrícolas,"De tracción doble",200000.00,NULL,NULL,"u$s 200.000",https://static2.aastatic.com.ar/files/variants/500/71b66d79d1c042b28bc227f49831d60d.jpg,https://www.agroads.com.ar/detalle.asp?clasi=1017051,"NAVARRO S. A.","2025-12-12 08:38:29"
